ID,Smiles
1,CCCCCCCCC(NCC1=CC=C(O)C(OC)=C1)=O
2,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3O)O1)O)O
3,CC1=NC=C(CN(/C(C)=C(CCOP(O)(O)=O)/SC(C2=CC=CC=C2)=O)C=O)C(N)=N1
4,[O-]C([C@@H]1N(C2=O)[C@]([C@@H]2NC(C(C(C3=CC=CC=C3)=NO4)=C4C)=O)([H])SC1(C)C)=O.[Na+].O
5,CC(NCCC)C(NC1=CC=CC=C1C)=O
6,O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)[C@H](C(O[C@@H]3C(C)=C([C@@H](OC(C)=O)C([C@@]4(C)[C@]([C@@](CO5)(OC(C)=O)[C@@]5([H])C[C@@H]4O)([H])[C@@H]6OC(C7=CC=CC=C7)=O)=O)C(C)(C)[C@@]6(O)C3)=O)O
7,O=C(OC)[C@@]1(O)C[C@@]2(CC)[C@@]3([H])C(N1C4=CC=CC=C54)=C5CCN3CCC2
8,O=C1OC(CSC)CN1/N=C/C2=CC=C([N+]([O-])=O)O2
9,O=C1C=C(C2=CC=C(OC)C=C2)OC3=C(OC)C(OC)=C(OC)C(OC)=C13
10,O=C([C@@H](C(C)(C)S[C@]1([H])[C@@H]2/N=C/N3CCCCCC3)N1C2=O)OCOC(C(C)(C)C)=O.[H]Cl
11,O=C(C1=CNC2=C1C=CC=C2)O[C@H]3C[C@H]4CC[C@H](N4C)C3
12,C/C=C(C)\C(OC(C)([C@@H]1CC2=C(O3)C(C=CC3=O)=CC=C2O1)C)=O
13,[O-]C([C@@H]1N2[C@@](SC1(C)C)([H])[C@@H](C2=O)NC(C(C(C(C=CC=C3)=C3Cl)=NO4)=C4C)=O)=O.[Na+].O
14,OC[C@@]1([C@H]([C@H](O)[C@@H](CO)O1)O[C@@]2([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)O[C@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO
15,O=C(O[C@@](C[C@@]1(C)CCC2)([H])[C@]3([H])C[C@@]1([H])C2=C)C3=C
16,O=C1NC=C(F)C(N)=N1
17,O=C([C@@]1(O)C[C@@H](OC(/C=C/C2=CC=C(O)C(O)=C2)=O)[C@H](O)[C@H](O)C1)O
18,C[C@@]([C@@]12C)(CC[C@@]3([H])C4(C)C)[C@@](C[C@@H](O)[C@]1([H])[C@]([C@@](CC/C=C(C)/C)(C)O[C@@H]([C@@H]([C@@H](O)[C@@H]5O)O)O[C@@H]5CO[C@@H]([C@@H]([C@@H](O)[C@@H]6O)O)O[C@@H]6CO)([H])CC2)([H])[C@]3(CC[C@@H]4O[C@@](O[C@H](CO)[C@@H](O)[C@@H]7O)([H])[C@@H]7O[C@]([C@@H]([C@@H](O)[C@@H]8O)O)([H])O[C@@H]8CO)C
19,C[C@@]1(C2)[C@](C(COC(C)=O)=O)(O)CC[C@@]1([H])[C@]3([H])CCC4=CC(CC[C@]4(C)[C@@]3([H])C2=O)=O
20,O[C@@H]1C[C@@H]2OC3=C4C(CN(C)CC[C@]42C=C1)=CC=C3OC
21,C/C1=C\CC[C@@](C)(O2)[C@H]2[C@@H](OC(C3=C)=O)[C@H]3CC1
22,O=C(O)[C@H](O)[C@@H](O)C(O)=O.C1(C2CC3CNC2)=C3C=C(N=CC=N4)C4=C1
23,O=S(O)(O)=O.[H][C@]12C[C@](CN3[C@]2([H])CCCC3)([H])[C@@](CCCC4)([H])N4C1.O.O.O.O.O
24,O=C1N=C(N)N(C)C1
25,OC(CN)C1=CC=CC=C1
26,O=C(C1=CN2C(C)CCC3=C2C(C1=O)=CC(F)=C3N4CCC(O)CC4)O
27,O=C(N)C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1C
28,O=C1NC2=C([C@@](/C3=C\C)(N)CC(C)=C[C@@]3([H])C2)C=C1
